"","ttest-dark vs light-15 min","ttest-dark vs light-2h","ttest-dark vs C2","ttest light15 vs light2"
"1",0.00083813118338562,0.552165696914357,0.60863640637009,0.0979990551442112
"2",0.00262398499416357,0.345075121045879,0.270056175174112,0.839989456884354
"3",0.00262398499416357,0.00998142834095286,0.711889307631289,0.640744365216044
"4",0.00262398499416357,0.101868317914475,0.0429541078211974,0.0323503725698453
"5",0.00507122925828516,0.153965061637199,0.60863640637009,0.295148995132348
"6",0.00507122925828516,0.345176888652191,0.00255846658224037,NA
"7",0.00903097009924983,0.584131263083784,0.00414198215558056,NA
"8",0.00903097009924983,0.0024129033482957,0.00414198215558056,NA
"9",0.00903097009924983,0.552165696914357,0.137440489498257,0.528748891744071
"10",0.00903097009924983,0.00251519695466653,0.00414198215558056,NA
"11",0.0161297438894897,0.0275672521761647,0.478339717611856,0.639372520861784
"12",0.0184618382304457,NA,0.0615727838740047,0.639372520861784
"13",0.0203392923299895,0.0260797389693655,0.414990888420084,0.239918502615768
"14",0.0203392923299895,0.00688690216512652,0.0184350868533361,0.484410084557216
"15",0.0232213238934479,NA,0.597204539560642,0.314888189050531
"16",0.0275601463728518,0.0296025036990806,0.60863640637009,0.0632929791058523
"17",0.0289060605443064,0.709900365381371,0.101091550347226,0.477741843534859
"18",0.0297848958748339,NA,NA,0.0149875180143738
"19",0.0336496945872616,0.0167727096811105,0.153283427271295,0.59888406927521
"20",0.0336496945872616,0.465131124521936,0.291869031116587,0.382687063420511
"21",0.0336496945872616,NA,0.0514255625686215,0.923846764096048
"22",0.0336496945872616,NA,0.392273760224911,0.793542318679616
"23",0.0336496945872616,0.552165696914357,0.392273760224911,0.544199700672206
"24",0.0336496945872616,0.00855383270143145,0.111433841928306,0.639372520861784
"25",0.0336496945872616,0.410070643782024,0.10394534800636,0.786979661888988
"26",0.0336496945872616,0.552165696914357,NA,0.0196218004455249
"27",0.0336496945872616,0.163956241733198,0.179115339613054,0.489787942945333
"28",0.0336496945872616,NA,0.60863640637009,0.17354415052749
"29",0.0381065142575247,0.000545756557330495,0.278112416678588,0.568486854045008
"30",0.0381065142575247,0.626385777692998,0.60863640637009,0.00408691096254767
"31",0.0381065142575247,0.128854036177106,0.392273760224911,0.417258253774977
"32",0.0388643589735714,NA,NA,0.0223499773722808
"33",0.0429825636300098,NA,NA,0.0239458374475201
"34",0.0456505083796626,0.0214764642294269,0.60863640637009,0.22594680621471
