"","ttest-dark vs light-15 min","ttest-dark vs light-2h","ttest-dark vs C2","ttest light15 vs light2"
"1",0.00335252473354248,2.20866278765743,2.43454562548036,0.391996220576845
"2",0.0104959399766543,1.38030048418351,1.08022470069645,3.35995782753741
"3",0.0104959399766543,0.0399257133638114,2.84755723052516,2.56297746086418
"4",0.0104959399766543,0.407473271657899,0.17181643128479,0.129401490279381
"5",0.0202849170331406,0.615860246548797,2.43454562548036,1.18059598052939
"6",0.0202849170331406,1.38070755460877,0.0102338663289615,NA
"7",0.0361238803969993,2.33652505233514,0.0165679286223223,NA
"8",0.0361238803969993,0.00965161339318281,0.0165679286223223,NA
"9",0.0361238803969993,2.20866278765743,0.549761957993029,2.11499556697628
"10",0.0361238803969993,0.0100607878186661,0.0165679286223223,NA
"11",0.0645189755579589,0.110269008704659,1.91335887044742,2.55749008344714
"12",0.0738473529217829,NA,0.246291135496019,2.55749008344714
"13",0.0813571693199581,0.104318955877462,1.65996355368034,0.959674010463072
"14",0.0813571693199581,0.0275476086605061,0.0737403474133443,1.93764033822887
"15",0.0928852955737916,NA,2.38881815824257,1.25955275620212
"16",0.110240585491407,0.118410014796322,2.43454562548036,0.253171916423409
"17",0.115624242177226,2.83960146152548,0.404366201388904,1.91096737413944
"18",0.119139583499336,NA,NA,0.0599500720574952
"19",0.134598778349046,0.0670908387244421,0.613133709085178,2.39553627710084
"20",0.134598778349046,1.86052449808774,1.16747612446635,1.53074825368205
"21",0.134598778349046,NA,0.205702250274486,3.69538705638419
"22",0.134598778349046,NA,1.56909504089965,3.17416927471846
"23",0.134598778349046,2.20866278765743,1.56909504089965,2.17679880268882
"24",0.134598778349046,0.0342153308057258,0.445735367713225,2.55749008344714
"25",0.134598778349046,1.6402825751281,0.415781392025439,3.14791864755595
"26",0.134598778349046,2.20866278765743,NA,0.0784872017820995
"27",0.134598778349046,0.655824966932792,0.716461358452215,1.95915177178133
"28",0.134598778349046,NA,2.43454562548036,0.694176602109959
"29",0.152426057030099,0.00218302622932198,1.11244966671435,2.27394741618003
"30",0.152426057030099,2.50554311077199,2.43454562548036,0.0163476438501907
"31",0.152426057030099,0.515416144708424,1.56909504089965,1.66903301509991
"32",0.155457435894286,NA,NA,0.0893999094891231
"33",0.171930254520039,NA,NA,0.0957833497900804
"34",0.182602033518651,0.0859058569177076,2.43454562548036,0.903787224858842
"35",0.182602033518651,0.0948915142691733,2.43454562548036,0.303633169926497
"36",0.192122833243946,0.0504858617632362,0.740917935392474,1.76179015680116
"37",0.195946900846113,0.0906866941553079,0.260825540554375,2.55749008344714
"38",0.195946900846113,2.20866278765743,2.84755723052516,2.05684907390081
"39",0.195946900846113,NA,1.56909504089965,3.9286607410692
"40",0.195946900846113,0.432451404078908,2.43454562548036,2.19856554849096
"41",0.195946900846113,0.591937379648073,NA,0.117727220345728
"42",0.195946900846113,0.0546791722889421,0.382378207340513,2.55749008344714
"43",0.195946900846113,0.0504858617632362,2.43454562548036,1.78881463826175
"44",0.195946900846113,0.0409094451894911,3.01029960331816,0.197257464329462
"45",0.221996366008183,0.0561381122685179,0.761350968335172,2.47206115186533
"46",0.222938840865817,1.44705589469018,2.09602231445618,1.76179015680116
